"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
0.22176585,1.4379426,0.12654734,297.56815,287.00558,268.79919,250.26291,230.22386
-1.1076957,0.85620546,0.12419107,287.5426,281.75558,266.17181,240.29997,226.28879
1.4259295,1.2262473,0.13739648,252.7699,238.35893,221.67458,203.88002,193.74611
-0.66867709,1.6876067,0.14314848,292.8215,279.1908,260.16803,237.18852,221.36391
0.99123681,1.0023906,0.15319818,259.1373,243.06465,224.02502,202.56752,192.56125
-0.99826926,1.5112172,0.11840404,295.06839,287.63654,267.51318,246.19296,232.63693
1.2075346,0.4079558,0.16098629,268.98947,250.73734,229.52306,207.57428,194.52878
-0.84852511,0.77278942,0.13847815,293.13699,283.73276,263.6889,236.59608,221.30371
-0.90918535,4.2018085,0.14327349,297.20212,289.00201,263.36139,239.92188,225.46516
-1.1525686,1.9163555,0.15515698,306.73157,288.55649,269.39886,242.00502,223.56746
-0.72079092,1.6811938,0.1263857,292.59271,272.86914,259.3974,240.98874,226.98236
1.2377524,0.50109911,0.11522106,244.26636,232.02283,217.62871,205.70789,195.94724
0.83513141,1.2691054,0.12911659,246.01958,233.87477,219.96953,206.95776,195.41743
1.1692678,0.58806181,0.15978266,264.03809,249.14067,230.25998,212.34502,197.25493
1.1048911,1.3137578,0.11623,240.46855,228.35747,216.73526,204.87944,195.15974
0.08760947,1.4351897,0.13960437,298.21838,279.15469,262.01517,241.20789,225.01241
0.68927407,0.4948951,0.15149692,259.26013,244.75043,225.77823,207.06372,194.7383
-1.0476408,2.1169155,0.12101752,292.05087,282.41547,263.89841,240.33852,226.90529
-0.96689856,1.4805379,0.13179059,294.60602,281.96512,260.64728,236.45882,221.46265
-0.86269492,0.55039811,0.12785558,294.50244,285.25958,267.60953,242.75639,228.72353
-1.0297445,0.49356699,0.12400879,294.21829,286.52393,269.52167,243.34401,229.47731
1.0348718,0.675991,0.13718402,254.92528,237.87968,221.6794,203.49229,193.53899
1.0655261,0.95943493,0.17531866,314.88589,299.50922,274.62958,245.20558,222.64992
0.72512209,1.4523928,0.13773386,255.14442,239.2283,222.78719,208.78802,196.83107
-1.0214604,1.8562762,0.16874543,317.88416,297.43088,271.44345,247.60179,225.82881
-1.2902893,2.4128618,0.1426646,299.76929,309.40469,277.10043,246.76613,230.91263
1.060276,1.2663639,0.14855088,253.82471,238.98749,222.12491,201.91248,192.04106
-0.72995764,1.142221,0.12000061,290.91656,285.20422,265.93097,240.99356,227.74818
1.0440525,2.6517608,0.088712767,230.94875,221.89131,210.83745,204.23643,195.65344
-0.8792395,0.79066384,0.11127128,282.35526,274.89209,260.03317,241.58357,229.32799
-1.1010643,0.46807972,0.12479096,290.66852,280.065,264.81595,241.16454,226.51997
-0.39603689,3.9025383,0.11175617,288.99237,290.1098,275.41949,250.50133,229.69405
-1.1655399,1.4703451,0.14324021,296.27252,281.76523,265.09531,239.99654,221.95152
1.1343296,1.171137,0.12190671,238.908,227.91194,215.85384,201.83542,192.92007
0.85322553,0.76466382,0.16029394,263.97067,248.85408,228.81021,205.84515,194.30722
-1.0360128,1.0828243,0.10635319,279.89642,270.21524,257.37448,238.35652,227.12926
-0.92313796,2.1919172,0.15833881,311.64438,290.83469,268.31516,246.16406,226.2623
-1.1526423,1.6002717,0.14342564,303.67548,290.92139,270.09003,246.62886,227.20874
-0.9218142,0.72259569,0.12151472,286.85385,277.15341,261.54556,241.60043,228.06366
-1.4084046,2.0844045,0.13036127,289.50293,280.70319,264.7413,241.20306,222.5271
-1.1189845,0.72741389,0.12695321,292.6481,282.32635,265.85873,241.42464,226.89807
-0.83260542,2.2093062,0.15008737,304.13065,288.66003,267.58304,242.59503,224.4561
-0.31441027,1.6527534,0.11021763,282.28299,271.02682,255.69592,238.79723,225.86252
-1.2568098,0.53786111,0.14646482,293.59454,280.97531,262.69672,238.18794,221.98042
1.3657589,0.71902621,0.16729753,266.80035,251.90533,230.53934,207.42015,194.0977
-1.0434613,1.2464607,0.11793455,290.89249,281.76041,264.31024,239.42337,226.28397
0.32028899,3.9728444,0.16675349,272.15631,254.10648,233.26788,213.29146,198.47591
-0.63403791,0.92328709,0.12369966,293.20441,283.28964,265.84909,242.20491,228.396
0.76673591,1.042215,0.19146323,287.06577,270.44885,242.77567,216.90382,198.7047
-0.86721224,0.67582124,0.12183085,294.90704,284.22162,268.20197,244.84193,231.27626
-0.87627387,0.56235665,0.12936305,295.88239,285.05008,267.08212,242.07968,227.32433
-1.2059046,1.0805283,0.12547064,290.10016,282.62979,266.18384,239.77257,225.3279
-0.76197988,1.0414201,0.14615262,290.63242,280.65985,263.20001,238.21443,221.16643
0.1628571,3.4016795,0.11688944,285.21866,272.4501,266.19107,240.50949,224.68729
-1.0356884,0.88378006,0.11002576,284.8815,278.01318,262.28488,242.17601,230.37799
2.4526763,9.8248177,0.05696262,269.8757,274.14072,261.93329,245.59572,237.68703
-0.84394652,1.1319674,0.11682077,286.54077,280.60925,266.18866,242.69138,230.66217
2.3771753,8.489275,0.26496223,361.75043,305.814,253.7645,215.01096,205.88127
-0.91661251,0.66885298,0.12421954,289.93881,280.34918,264.89062,241.25606,227.02811
-0.63585317,1.3840656,0.1085425,281.61591,267.38556,256.41599,238.98026,226.1804
-1.3219199,0.66711515,0.13023648,294.81552,287.71841,269.67822,244.08093,229.7374
-1.1050286,3.463593,0.13700207,300.69647,284.14938,266.38855,240.49986,224.22491
-0.63786006,1.8035914,0.10908021,286.78644,282.55032,272.07684,254.00291,231.42558
-0.93218088,1.2474201,0.10523359,282.1987,275.86743,261.62021,241.23438,230.19496
-1.1116776,0.6053645,0.12536202,292.55899,283.55215,266.70883,242.97073,229.06067
0.92641425,1.2388668,0.090257406,233.2149,220.51138,211.52863,204.37372,195.32109
-1.1352611,0.51055944,0.13409217,291.8606,281.49792,262.33066,238.68645,224.46092
1.1348695,0.80557144,0.11112569,239.93152,227.48328,215.56485,205.6236,195.87018
