"NDAI3","SD3","CORR3","DF3","CF3","BF3","AF3","AN3"
1.9541129,12.510011,0.3419857,297.1973,242.87439,216.64133,184.00473,162.63393
0.84240109,0.57994449,0.080284908,218.2067,208.54962,200.28932,192.74908,186.6225
2.652698,13.535034,0.24407379,330.07953,271.69153,224.09727,227.51459,206.91682
-0.90752923,0.4406341,0.13454232,281.85193,268.71249,252.70728,229.7085,215.6684
-1.4262154,1.1156867,0.16496764,304.32571,287.56909,267.95151,239.87372,218.00922
1.7440724,15.435579,0.27251464,307.12167,275.95172,276.75366,218.06702,189.32214
3.2101736,12.35822,0.21203966,287.09225,243.97978,237.64127,213.47449,205.76567
1.1016687,0.45135143,0.094233356,226.43086,210.13905,201.53679,192.08923,186.3889
2.0719934,7.074472,0.28227589,309.43842,267.97318,224.44406,194.13864,179.07745
-0.72293878,0.93366659,0.16611387,304.85794,290.84192,272.20447,241.6799,218.27654
-0.62582999,0.89956838,0.167218,305.91034,288.61188,269.04965,239.91466,217.53479
3.009552,9.5898514,0.23133881,238.73462,196.87924,181.48329,170.47519,148.9045
1.8625782,4.4196,0.28787178,329.63882,292.26038,241.28976,205.17325,193.35837
1.9778496,17.444754,0.22596633,335.64981,267.97559,250.12564,210.20648,194.75516
3.0332406,9.1859875,0.34233618,298.56036,245.28024,173.62999,158.54231,146.66722
-1.0147682,0.68269414,0.16365583,303.84406,290.06888,270.65115,241.21271,218.69798
1.4209981,7.4670062,0.14436883,327.72186,260.62802,255.96805,232.54541,217.07242
2.0542097,22.820044,0.25264862,353.43954,274.13107,191.15242,212.98561,197.20676
1.9369384,17.779608,0.31987122,307.9429,248.38448,215.59375,177.4278,156.01364
-0.88643384,0.86086345,0.14141585,283.98322,284.19516,260.35107,225.3568,209.05052
0.83551228,2.7290821,0.16339262,299.55496,275.65549,259.93924,235.18726,213.68881
2.0000117,17.89772,0.23147734,266.94727,241.67509,199.89195,162.67487,166.46545
1.089295,1.4769483,0.12649728,242.2916,227.11722,215.5793,200.49643,191.98567
1.3309947,0.56579971,0.099615343,234.63818,219.65646,207.71877,197.3344,189.7749
-1.1421992,0.90890211,0.15565802,291.97379,276.42853,250.93723,229.32077,211.9308
1.0187942,0.43684256,0.094419412,230.53934,217.87917,207.20822,197.2766,190.63947
-1.13253,0.79884189,0.16971439,305.09393,290.58664,269.66617,240.38426,216.94237
-0.50879103,0.71039402,0.17743544,308.44141,290.26636,270.87512,240.03506,215.56966
0.69077104,0.98357922,0.082970336,227.44714,215.41553,205.9776,198.29529,192.4601
2.2676046,10.63347,0.3893854,309.21204,236.23967,199.01054,158.72052,139.25464
1.0714003,1.1765743,0.085056171,224.1021,212.31129,203.28278,195.98096,188.70323
2.5951462,7.703908,0.22457305,339.37296,282.1987,256.79889,218.94362,215.13377
1.1767899,0.71423262,0.088606961,230.18774,218.05739,207.47554,198.28564,191.13797
2.8025298,38.871361,0.28712016,348.01617,291.38138,243.96053,216.06335,190.09279
-0.84012455,2.1453607,0.17375812,313.40961,300.10886,277.2955,245.05869,220.72572
1.178376,2.3812685,0.12829416,283.38116,273.08588,259.37091,238.57086,219.57458
1.1922433,0.63324499,0.07491909,216.76175,206.61578,198.46867,191.57867,186.20346
1.3230283,3.163465,0.17310403,245.31395,218.33675,204.84813,186.55507,171.22656
1.2626508,3.5017862,0.17486747,231.11491,212.72552,195.45355,176.58733,160.96982
2.2658975,24.745264,0.28540277,265.91171,204.37611,196.17844,150.99245,149.74979
2.1024582,15.53697,0.21975134,316.32602,249.66325,221.46747,210.14629,188.15173
-0.70463467,4.10183,0.13985769,293.14178,272.21411,251.23584,226.51276,211.89226
-1.0350047,3.0531561,0.17874031,298.41104,307.4733,271.33749,234.4985,214.51244
2.314008,8.2947187,0.20013967,248.85167,226.10815,217.82138,188.12766,162.99998
1.6586945,6.6037903,0.26913482,337.16702,284.21683,239.93152,211.91635,196.54208
3.0481734,6.5094342,0.2465871,333.62207,277.72659,236.94528,197.44276,202.43025
0.90355897,0.44202328,0.079918884,226.92215,216.5161,206.11969,199.0009,192.96823
-0.86265123,0.40956962,0.17129318,306.96274,289.41382,269.68304,240.5119,217.1254
3.2970538,12.746122,0.27388558,350.56409,299.76929,257.42264,226.56091,202.55789
-1.2527782,1.4198261,0.17604674,318.21408,298.11002,274.92099,245.17188,222.70049
1.0165094,0.36601025,0.070126615,214.9989,203.82463,196.78772,190.45161,186.31906
1.2935156,0.78610098,0.079256371,215.51187,207.09744,199.99069,192.76353,186.42502
-0.99146634,1.0821625,0.17530705,307.57925,297.33698,278.94998,246.19778,215.70694
-1.2762482,1.2046112,0.17968059,311.76721,292.19055,273.0835,241.87738,216.63652
0.70698684,0.7305662,0.085764848,218.74133,206.38701,199.18393,191.52087,186.34555
-0.82995284,1.0982089,0.17074172,298.91919,283.79779,264.83765,236.35045,211.9597
1.56586,2.5465026,0.14379162,286.3746,266.62695,244.43494,217.79729,208.05592
2.8376749,14.192554,0.34141082,268.7655,238.22166,227.74577,194.14105,159.64529
1.7661052,5.3427887,0.11611813,226.54164,215.47333,202.03529,192.86949,184.63087
-1.1989793,0.95799685,0.16898745,308.72076,292.46747,272.9679,243.27417,219.6107
-0.90728664,0.91233158,0.18134534,306.42328,287.70157,268.14658,236.75986,212.19571
