"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
1.7972392,20.358374,0.40571439,290.57941,227.61572,170.03688,120.06811,113.21182
0.5198583,1.6510968,0.13563047,291.00568,273.35562,258.93982,238.21925,221.25795
-0.72135222,1.0610712,0.096635886,274.80057,260.10782,251.28641,236.71169,225.7397
3.4449058,35.653629,0.16457449,182.32617,179.1786,167.48654,154.97569,153.42719
0.16536219,6.2049956,0.11408976,286.47577,272.53439,259.42148,240.076,224.65599
-0.22497499,2.117867,0.11799729,288.44571,271.74689,258.13068,238.87189,224.44888
-0.66701651,0.67778289,0.12979411,291.37897,280.86694,263.37823,238.34929,223.57468
-0.77856058,0.91656023,0.12642357,287.31384,274.97397,260.97479,237.28967,222.89555
-0.9026888,1.0175006,0.14045303,296.44833,283.62198,265.55048,239.17291,223.70232
-0.57694829,0.63826102,0.12076531,290.09296,278.06857,263.37582,241.64619,227.57719
-0.88093686,1.1384712,0.13751879,308.50162,289.64261,269.0304,243.0791,227.34842
4.0388751,23.287146,0.20299709,168.01395,155.26709,90.83918,95.877243,123.96706
3.0306981,29.816133,0.14253613,195.69678,151.78476,181.12929,174.67276,165.20113
-0.42063442,6.5817113,0.15114041,292.51083,278.92831,263.91046,242.12543,224.70897
-0.80716002,1.7924629,0.12708145,287.71118,271.52536,257.64902,236.46846,222.92445
2.0100057,5.6511874,0.3033841,321.90594,275.17624,234.08188,196.94426,179.2966
-0.055428922,1.952724,0.15719561,300.03903,284.96097,268.58246,240.21088,219.26151
1.7952662,10.956168,0.15404676,277.37497,252.26175,231.6351,205.88368,197.18268
0.86667722,2.4609704,0.074701972,198.64929,186.32628,181.806,174.95212,174.15739
1.7620373,7.6377873,0.31336454,337.12366,285.86887,246.00993,192.32524,180.61632
2.7948256,14.249059,0.36077315,310.0477,267.87927,214.95074,163.43347,144.9935
-0.95926464,0.72109014,0.069037072,260.45221,251.12747,246.58792,235.0813,226.92697
-0.73892772,0.75694364,0.12977397,290.63721,277.10767,262.37399,238.79723,223.15565
1.5622802,5.0187163,0.23276734,334.42401,290.77206,252.57483,218.05739,211.56715
