"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
1.3099072,4.4703622,0.48100078,209.26486,154.08945,112.89393,81.422928,73.665955
-0.87623966,0.55872995,0.13019368,288.38309,282.77429,264.23557,237.32338,222.93408
2.9333696,9.7336798,0.43264297,254.73984,207.61761,164.32933,159.71272,107.93775
-0.98233628,1.0359429,0.14311016,295.92813,282.71649,264.71481,241.13083,222.5006
3.1435332,16.977728,0.57188791,195.28497,102.74316,75.72982,66.294296,52.516705
-1.0655427,0.68995595,0.11399247,289.18024,277.56284,268.14658,247.52473,229.91078
2.0779257,14.636119,0.077180721,164.35101,188.59967,182.48753,170.96887,161.57188
3.2876236,10.977739,0.31842375,177.67825,156.25447,135.77711,103.74981,93.608665
2.2226264,9.7620564,0.51072592,285.72919,234.51054,174.55717,113.36595,88.982422
1.8800564,8.134573,0.26569167,135.95052,118.91696,93.114975,95.862793,85.861328
1.9843003,6.6303926,0.0059767365,273.25208,259.48169,273.74335,272.05515,273.5892
-0.94403994,0.88256508,0.12899005,288.06763,279.05594,262.92065,238.81409,223.4615
0.47801509,2.3784952,0.10282631,281.49789,266.95209,256.71942,244.54332,229.58327
1.2116411,3.77806,0.10753467,216.4872,204.8096,198.17487,187.98076,177.62286
2.0007529,11.147997,0.35896772,213.10602,167.08678,136.33342,115.89461,102.22057
2.5226111,9.037076,0.49046594,279.02945,243.07669,189.4859,124.17177,100.20005
-1.0041428,0.74825937,0.13786343,298.37012,282.1337,264.74854,239.34149,223.86127
3.0531995,18.023104,0.22770382,191.18854,160.70973,140.61047,126.5463,124.1236
-1.0998122,1.3971007,0.1179452,287.59558,279.18839,264.75095,244.08815,231.30276
2.7337615,6.8651066,0.40853915,316.38623,261.14096,203.77405,159.36353,124.66546
1.1408758,0.77105463,0.1685646,277.45926,258.55933,234.55148,213.65991,197.93405
-0.1234858,5.8500733,0.15231618,310.46191,293.20923,270.57651,244.36751,225.51091
1.65992,9.3973913,0.24346887,147.31023,135.37735,108.15691,92.060165,87.872215
1.6988262,3.4022653,0.28379947,304.41241,248.4519,211.66829,179.46759,171.30844
1.5308024,3.0617187,0.088826835,234.0602,224.94016,219.30727,210.39433,197.64987
-1.2484376,0.89223462,0.12306929,291.2995,281.44009,262.99774,242.62393,229.51102
-0.88677257,0.63125455,0.12510107,290.97437,279.4798,263.61664,240.33369,225.98053
1.3576337,7.0858274,0.10174641,263.40472,264.08627,252.64467,229.8578,213.84053
-0.86166,0.45390618,0.12426942,293.71255,284.85742,267.54449,242.43851,228.58144
-1.2732704,1.7662135,0.109946,284.61899,275.2485,261.75507,239.4306,226.86194
2.4949756,13.609275,0.63113844,241.11638,172.50293,126.15617,72.17765,56.752815
-1.0778348,0.59609336,0.12224882,290.38193,284.40948,265.67572,240.02061,226.61389
1.9181032,63.95248,-0.30214205,172.56795,245.88229,245.66315,234.8188,220.90152
-0.7758472,0.71449232,0.074993633,266.83649,259.0217,251.78252,241.90387,229.81445
-0.92881662,0.90842021,0.13093522,293.58252,285.83759,267.40723,244.64687,230.01675
-0.99018353,1.7811007,0.12325626,292.08698,282.80557,265.20367,240.20123,226.25989
2.5159273,15.091236,0.35401258,258.70624,192.88876,158.25813,131.97449,120.85802
-1.1267388,3.0718427,0.13125786,289.67633,272.58017,258.25589,238.91524,225.54463
-0.76998127,0.83458155,0.1286165,289.66187,282.07831,266.86298,240.81534,225.37605
0.13573311,2.4556038,0.15298723,303.69232,284.43597,266.4921,243.226,224.95221
2.3396232,10.507761,0.22789291,296.84326,259.32516,222.267,195.3524,195.05379
2.2103629,18.063492,0.2845175,271.18338,233.7977,209.82599,181.47607,156.83005
2.0152583,13.098893,0.46765569,293.50305,231.76514,189.58705,154.29897,109.25507
-0.90025216,0.76835251,0.12735444,288.09412,279.46777,261.76953,239.43782,224.77399
1.9211111,10.771677,0.078633398,84.883583,124.6197,87.710869,77.470985,74.359528
3.6099899,14.487524,0.29995537,233.40758,200.33989,159.84758,130.05753,117.22397
1.0021105,0.41480803,0.11797153,242.07727,229.73981,216.91106,203.19608,193.85207
1.872741,7.0185809,0.5480988,196.23865,133.95648,105.74866,72.709877,57.051437
-0.81817269,1.3828647,0.13074362,293.29834,282.62738,265.39877,239.33186,224.20564
1.6302555,6.2418385,0.42574486,182.99808,134.12747,102.50233,78.894264,70.217339
1.5309006,7.1418939,0.34367573,179.04132,116.00298,103.43192,84.081635,88.919807
-0.72721666,2.3037696,0.12177709,286.49261,278.60559,263.47937,238.23851,224.91367
0.92478156,1.4463617,0.13882215,249.38148,235.92419,221.22183,205.57542,194.19403
1.363645,8.2249374,0.38847116,300.24133,232.90906,178.92815,143.92422,131.62531
-1.095191,1.0100188,0.12629341,296.55188,286.67084,265.56494,242.465,228.32135
