"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
1.1210124,1.8452674,0.12076177,269.13394,251.80901,250.83607,238.53714,222.92445
-0.60780752,3.115803,0.14423443,293.6066,280.78748,261.7045,236.69965,217.35176
0.31526637,0.77167976,0.16587164,292.22906,273.31949,257.83926,232.56709,209.28413
0.49115559,3.9052057,0.1525294,284.48172,262.6076,244.01831,218.82562,201.1322
0.3227281,2.3089516,0.10888105,277.69528,263.1687,248.1003,228.64886,213.7731
1.2224947,3.1956732,0.2492201,339.24051,286.61545,246.19296,219.33134,204.66751
1.109521,3.3430872,0.16459981,289.84732,270.13339,255.7778,233.9133,209.61165
3.079596,16.942877,0.30302119,298.03778,251.91496,217.66243,178.0419,157.89207
0.47358057,6.0036039,0.14937884,282.23001,259.60449,244.28082,224.40794,206.87589
2.4367642,16.621677,0.28503594,296.6145,241.5932,216.37642,186.43225,166.47749
2.3492646,6.4439273,0.053884219,249.08287,237.37396,209.49846,209.49846,232.2757
-0.8324331,1.7569184,0.13356134,290.43253,276.84036,261.96701,239.70514,219.90451
0.027654082,2.2116864,0.13268811,284.85742,269.66376,254.77597,233.60986,216.20303
1.1773472,6.7815905,0.13793974,153.4296,155.32007,155.56329,146.85025,134.52965
0.39174592,1.978119,0.12880661,282.69962,274.10217,258.64603,236.56718,219.23019
2.1928949,11.464992,0.29679713,297.98718,226.63557,189.30289,159.87166,142.36128
2.0954516,8.7900782,0.24232939,253.43457,229.03177,210.31245,186.87778,166.18369
-0.24183275,1.3464648,0.12903726,282.93805,268.57764,255.95119,236.8345,218.72447
-0.90953648,2.587244,0.13708927,291.37656,274.43451,258.10657,236.79597,218.06461
1.8681418,4.0154743,0.14653938,266.72571,253.84157,231.56044,218.43788,206.12692
-1.0855422,1.0693692,0.1228216,282.31189,270.78842,259.0723,237.9977,220.20795
-0.41082856,4.8069453,0.14316598,289.6402,279.83621,266.87741,243.41385,221.64568
2.046921,13.323168,0.10045173,202.2713,166.22704,149.24165,145.27045,139.90245
0.7468645,5.6292615,0.10729408,225.29176,194.2133,189.79175,185.75793,177.46873
0.9825393,5.1049585,0.13512787,215.49019,212.83148,204.53748,188.46722,178.74753
2.047317,7.8160515,0.23152947,307.65149,260.22101,228.94026,197.47166,191.65334
2.1823115,6.2463207,0.30623141,291.44879,245.8847,210.86635,167.14458,154.3062
0.73693317,10.37012,0.1206852,209.89342,196.34219,192.53474,180.62355,168.79422
0.94136614,2.3787682,0.11712531,255.39008,233.87958,220.36449,210.2402,200.74448
0.47701243,1.1666224,0.11446732,270.20563,252.76027,242.36867,230.33223,214.56302
-0.70352191,0.94533223,0.12315338,283.73035,270.96423,258.53525,239.44505,221.42653
1.8286132,1.845302,0.12581019,280.15652,261.65875,256.35818,240.41075,218.84488
0.72364706,4.551662,0.1539202,231.78682,221.26999,213.06027,199.45847,181.65187
0.54467738,2.657213,0.11940771,274.82465,261.9646,250.22438,234.20711,219.80577
1.1347764,2.7632289,0.27269012,331.64008,285.34387,237.74001,207.04686,190.11928
-0.68872774,2.5491385,0.11695866,277.07153,268.44278,257.89465,238.99471,221.72275
1.8199736,3.5837359,0.2358122,209.24319,197.11523,183.13776,168.37038,131.60362
-0.40280339,3.4096477,0.13981837,297.27194,278.03726,264.36081,243.99905,225.10873
1.9200737,8.9015646,0.19205064,167.6479,139.67848,118.23784,100.58055,90.013153
1.377618,2.7483518,0.088041864,192.20242,179.71564,177.30017,171.97552,168.87129
