"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
0,-0.64985943,4.3266973,0.093612567,260.37033,259.17584,240.70215,225.01723,212.65086
1,0.185828,1.7168441,0.088514872,221.55658,208.22931,197.49094,190.78877,183.00531
1,2.1119778,5.4759479,0.15377988,260.54614,245.04663,222.85944,199.60779,187.97112
1,2.9522271,9.7151737,0.1379749,227.61813,227.0835,216.01279,200.87933,186.47319
1,1.8936189,7.8925076,0.10856149,260.90256,255.72963,236.0446,218.41139,204.70364
1,0.43393695,3.9738195,0.19618686,271.78061,255.36118,235.43771,211.55511,196.01468
1,2.3889554,9.4527788,0.14326628,286.03024,271.19061,236.75262,227.00403,213.7442
1,0.34688446,5.6201587,0.17688268,274.68256,249.68974,232.32385,214.05969,198.14116
1,0.59688437,3.3355212,0.16869073,264.15851,246.27966,230.9921,211.15775,197.38016
1,0.28701168,3.0399723,0.17002259,251.9222,221.05325,203.71866,190.82971,182.53571
1,-0.42918965,10.41773,0.15469804,269.89014,254.4942,234.58038,213.38297,198.81065
0,-0.85030311,4.2036891,0.13551325,274.99564,257.69717,246.37117,228.09738,212.90132
1,0.27438697,2.2017722,0.109012,222.37056,216.08502,200.34471,185.63994,180.45015
1,0.21508433,2.9650092,0.13809407,255.94638,240.43243,224.83179,206.48334,194.08807
1,1.5179719,4.987164,0.10226524,222.81126,210.0668,200.01718,186.03729,178.02023
1,1.727124,4.449348,0.15735567,269.28568,259.75864,235.3149,212.73274,200.41696
1,2.6367283,6.4315434,0.19570681,243.98701,228.31412,203.93541,178.42482,166.8315
1,0.73785585,1.756443,0.11312656,231.31721,212.39558,201.57051,189.87604,183.56644
1,0.69014567,4.0259504,0.13671333,223.6662,205.11545,187.80736,175.26279,169.72862
1,-0.26615676,3.3232961,0.19293728,284.41431,271.66501,247.35616,216.24397,199.17189
0,-0.78184307,2.0703747,0.12326518,274.3454,264.19946,246.15202,227.24727,212.82426
1,0.85166311,1.8665912,0.15251021,254.86749,243.52704,225.44348,201.65961,187.30885
1,-0.34349924,2.3356204,0.12572661,259.04819,246.06293,228.15277,209.72725,198.10744
1,1.7684139,3.1864023,0.11957887,221.3013,206.54355,194.0929,181.77951,171.35179
1,0.39995384,0.96873182,0.10079675,224.48982,217.4794,198.99368,185.64716,181.07629
1,2.2194881,4.4192057,0.11554516,290.56497,276.16605,258.73514,241.16936,229.00769
1,-1.1140805,0.51102448,0.15118021,277.50262,266.9617,244.43494,217.11816,201.89803
1,2.2377439,4.849174,0.092000522,254.96622,241.90146,230.34668,215.54076,209.55145
1,-0.050299019,1.0729922,0.17593312,290.67334,274.49472,251.3683,218.25005,201.91248
1,0.41486648,1.8261571,0.10729658,219.02309,212.86279,190.3625,177.49042,173.60109
1,1.0780768,3.7096853,0.15825164,248.19182,243.17784,221.6842,196.82385,184.59476
1,1.5323881,7.053659,0.07191661,248.19904,253.502,244.95032,228.22501,216.01759
1,2.4755712,3.0590563,0.10647416,238.46489,223.39888,209.34674,196.94426,190.99347
1,-0.46113044,3.6266463,0.12651154,268.81607,248.5386,233.83624,217.39511,204.60971
0,-0.86574888,1.4852582,0.13406774,283.44858,272.19244,252.09319,230.44783,215.75027
1,0.71129942,5.4794621,0.16908842,262.47995,248.55305,230.79944,208.18597,195.0321
1,-0.22914603,2.4757652,0.17060176,281.04034,275.11606,249.45374,217.88399,201.54401
1,2.4820504,5.3961473,0.18541852,248.17255,228.53087,199.82211,178.80051,172.75339
1,0.59724998,3.0948694,0.18060938,268.37296,254.77356,234.91031,212.00064,198.07132
1,2.6284068,7.9460664,0.17030434,227.21355,207.78139,190.32397,181.84453,181.21838
1,-0.24718222,0.70577437,0.12970331,257.42746,243.7197,226.99199,208.96143,196.8985
1,-0.58125353,4.7495432,0.11455011,280.47922,252.16542,234.05539,217.52275,205.84515
1,2.5756972,11.260708,0.10323153,264.16092,256.07159,249.82462,229.69646,213.78755
1,-0.87403029,3.2726147,0.18668081,291.41507,266.13327,242.03392,215.87309,199.68002
1,3.3355722,41.243542,0.23685448,104.64327,82.781174,88.305702,92.996971,104.57825
1,0.62270838,1.1112934,0.12498168,221.66975,212.40762,200.42418,185.29074,178.31404
1,-1.0472665,1.2467164,0.16500105,278.17453,273.19427,249.15752,220.45599,204.44836
1,-0.82695282,2.4530334,0.14588483,275.95892,255.07219,237.3282,220.33318,207.09021
1,0.041649893,2.0758493,0.13932136,228.75482,223.04247,202.78186,185.9482,177.21829
1,-0.68490416,2.5048838,0.17697746,276.11786,251.29605,233.04152,210.6761,195.7594
0,-0.93185419,1.5670093,0.093917735,253.78377,246.72278,236.44678,221.30852,211.36726
0,0.13378076,6.5116839,0.15081516,284.96338,263.23132,249.35982,227.30025,213.14215
1,0.57380974,4.6519041,0.13615353,278.0228,254.81932,243.43793,219.6396,212.78331
1,-0.20820944,3.599431,0.15074719,258.73032,253.35028,235.57259,213.99466,200.04849
1,0.9200182,3.0231268,0.13947065,249.37186,240.2205,226.90048,204.82405,191.63165
1,0.35413069,2.4329295,0.12821156,223.05931,213.39261,199.12854,184.83076,176.45006
1,0.62140036,0.55720288,0.11324694,229.39783,212.34502,201.00456,189.85437,183.33765
1,0.75575989,2.6196883,0.15043397,259.54431,242.8166,224.54039,200.54941,188.56836
1,2.2133522,4.5768447,0.13492489,258.90372,249.83665,241.62451,214.46428,197.63783
1,0.43729141,1.9121944,0.174289,285.21625,277.2594,250.63377,216.53537,200.70595
1,2.7110238,5.7898355,0.223923,231.05711,218.12241,206.13896,173.96233,155.66927
1,0.97195715,0.54893416,0.09382394,220.66792,208.82416,199.50905,190.70689,184.35634
1,-0.21477121,1.3191968,0.12224915,254.21725,239.89058,227.9288,209.69594,196.8118
1,0.51621801,1.043794,0.088914685,219.96472,209.0722,196.81903,188.02409,183.34488
0,0.6948157,1.8920189,0.16809037,292.77576,282.52142,257.45395,227.96011,208.48459
1,1.9206418,5.7579217,0.060600638,221.67458,214.24512,207.08781,199.61018,195.64621
1,0.14685348,2.1066859,0.10237598,225.21712,212.47025,201.66443,186.08064,180.52481
0,0.17840353,2.1954346,0.11208187,268.16824,261.19876,249.61269,227.70001,212.00064
0,-0.65861261,1.6871803,0.12508707,276.70789,267.14957,250.98538,230.07455,213.94168
0,-0.34552711,2.5758996,0.10759726,265.21814,262.1741,246.69147,228.50197,212.97116
1,0.71507657,0.9042244,0.10780028,223.17491,212.43172,199.80766,188.97295,182.53571
1,0.4868553,1.9149837,0.1427591,227.96011,214.16083,197.94368,181.75302,174.35728
1,-0.61020786,2.532624,0.19222237,294.23755,275.72534,247.85225,217.46736,200.67946
1,2.124243,7.8944073,0.13475358,277.965,253.13835,221.54694,208.95901,205.12508
1,2.0366557,9.6046419,0.051858149,243.60892,242.48907,238.70331,223.5506,213.75865
1,0.73736948,1.3350267,0.14957708,249.19365,228.22501,221.57584,202.69275,188.32031
1,2.4246588,8.5776234,0.10531397,202.13403,184.35393,174.61256,169.06636,167.36372
1,0.22240128,1.0874628,0.10970666,220.67033,213.65993,199.51868,184.77055,179.31346
1,2.9485145,14.186167,0.26305312,244.28082,206.88792,171.87437,150.73236,143.76529
1,0.17791416,1.3152665,0.10209402,221.18088,212.75443,198.64207,184.03122,179.01244
1,1.3022023,2.7982118,0.1398679,248.93837,240.20364,225.81436,200.55663,187.21733
1,1.0163555,0.4402779,0.077439278,216.58354,205.92462,197.58244,190.90677,185.2787
1,-0.72538233,2.3151848,0.16105887,276.65012,268.78958,244.63483,217.92734,202.87819
1,0.14290303,2.2044718,0.10305325,219.70703,211.05661,200.97566,185.13179,179.57114
1,0.94571358,0.82506478,0.11282005,220.62698,213.3324,201.05032,183.96861,178.02264
1,0.34495243,1.6949759,0.12217046,225.17857,215.47815,201.9462,185.50989,179.49408
1,0.29382607,1.9832433,0.11128625,223.26643,213.52505,200.14,183.61218,176.27185
1,1.6540694,7.880703,0.076017208,254.89879,249.58138,241.89665,221.91299,211.14812
1,1.3865309,2.3306534,0.15013193,284.90558,262.74487,251.29364,224.65839,212.14032
1,0.31399187,0.7720561,0.094762966,223.40129,215.83215,202.91913,189.11504,183.61218
1,-0.53591007,1.0143,0.16679101,283.05603,273.64941,247.1057,219.40359,203.30203
1,0.085895188,0.98796016,0.098042734,221.82147,213.84776,200.61443,187.31126,182.52847
1,1.8498141,5.0155144,0.035627346,236.8875,232.68509,230.09622,222.05508,217.1254
1,-0.33102641,1.4143496,0.14022796,254.26782,241.10193,228.96434,211.05901,198.26157
1,0.26053283,1.6744477,0.20608209,287.71359,274.74036,248.52174,214.32701,196.63359
1,-0.15941648,5.0045552,0.17835394,273.01364,269.26401,247.70053,218.31024,200.82877
1,0.31508139,0.76493996,0.096999072,226.01906,209.05775,199.74747,189.84714,184.32744
1,-1.2712696,2.2230196,0.12152669,266.77386,252.43515,235.80136,218.54626,206.41109
1,2.2904351,6.2932806,0.10188195,250.52541,237.15962,217.3325,207.15042,201.0118
1,1.471388,5.555932,0.11958567,231.85425,216.67264,199.92326,183.24614,171.17117
1,1.623124,5.9840212,0.27412656,316.12854,283.28,231.91446,211.65385,197.9798
1,1.1621571,2.1660109,0.13488621,246.14961,237.68944,222.00932,203.99802,187.75679
1,-0.60539657,2.1883204,0.14714257,264.29578,249.31647,232.35757,212.50397,198.59151
1,0.5274474,4.6100259,0.18291882,286.27347,267.05081,237.76649,214.51967,196.636
1,-0.80982006,1.7117037,0.15484065,278.88736,258.71585,238.56604,217.35899,202.85892
1,1.2665285,4.6928635,0.12917805,272.3273,259.36127,241.40536,221.87206,209.57071
1,1.0151159,4.1986847,0.1286574,225.5928,203.33334,192.27948,180.36827,173.20854
1,-1.0835648,1.2211165,0.15547916,280.25525,269.57227,242.49149,216.88939,202.07864
1,1.5465152,4.342628,0.10658363,225.16895,209.03848,190.56,169.78401,169.194
1,1.3557826,17.582153,0.32868165,275.07028,182.63925,156.31468,132.60065,118.46181
0,-0.92056078,2.6149971,0.10084098,262.26321,247.46693,235.69058,223.86127,213.35406
1,3.2441704,25.829063,0.13651679,87.701233,66.380997,71.963318,68.82296,68.928925
0,-0.81193924,2.613867,0.11896067,272.45734,260.43536,243.72211,228.19612,214.58951
1,0.79147762,0.98458678,0.10239441,225.22433,211.36726,200.7541,189.66171,183.02939
1,1.1802028,1.4197277,0.12589049,251.33939,243.10559,224.93294,205.1877,195.03693
0,-0.62764645,0.96353453,0.1435117,286.98871,270.55481,250.7542,230.14679,214.99651
1,2.7631691,28.979799,0.20870928,285.09824,226.11539,200.68427,170.12117,160.3774
0,0.26719615,10.774408,0.11285856,264.29819,245.11166,239.49562,224.99315,212.13068
1,0.5267483,0.99801964,0.1022911,222.99188,215.70694,199.22487,186.80312,182.39603
1,0.3150906,2.9098117,0.13186684,234.93199,222.21884,199.18393,185.53397,177.18457
1,0.98052686,2.1121621,0.099937044,221.36632,211.67793,200.08461,189.11745,180.12746
0,-0.65218204,1.9217638,0.15844779,291.65833,278.85364,255.32504,230.60678,213.44559
1,2.9102213,10.559246,0.27361235,238.84058,223.41092,182.29729,144.35291,133.00282
1,2.9217088,10.126122,0.22153214,229.32558,207.71877,178.07803,154.97087,152.17249
1,-0.34368977,5.3438377,0.13812807,283.52325,264.91953,241.67749,216.45349,201.56087
1,1.66128,12.923333,0.10035109,278.33347,248.3652,239.31259,225.9444,214.08136
1,0.85633278,0.95553559,0.10367808,228.13109,212.30408,201.53197,190.88751,184.61162
1,0.69240206,2.4163678,0.10189864,226.31769,214.53171,202.40135,186.38167,181.03055
1,2.0868258,6.6105323,0.12807214,214.62082,210.70259,198.2399,173.90935,163.01924
1,-0.94895846,2.710989,0.16176242,279.68451,273.4953,248.20868,221.20256,204.84091
1,0.60169578,1.7835435,0.133389,257.56955,241.39091,227.60851,210.25706,195.41502
1,2.004122,9.2603817,0.073238283,240.89963,240.33611,234.09874,215.65877,204.34241
1,1.0033712,4.2349601,0.10555012,285.35834,269.12433,262.52573,245.30432,231.36296
1,2.3995619,21.089497,0.26703358,278.41052,213.13251,207.3479,174.10442,152.93831
1,0.33975485,1.3663341,0.11412121,223.74084,217.72023,204.56396,187.25105,180.88364
1,0.44787997,1.1138604,0.12157562,250.26773,239.89299,225.24841,206.92886,194.71904
1,1.1736641,3.5195255,0.12124884,224.5717,208.80247,191.78098,180.14671,174.43195
1,1.1269567,4.5719061,0.12811501,205.43575,202.17738,191.22708,178.87756,171.90327
1,1.5109681,1.6370678,0.14462164,257.97894,239.66902,220.70645,200.01959,189.99164
1,1.2283498,2.2880282,0.10695597,215.44684,207.94273,194.19885,178.23216,174.54994
1,1.0663774,3.9934237,0.056842335,263.23373,263.19522,260.45462,247.76315,235.59425
1,0.75503081,2.3403721,0.1442541,257.88019,243.11763,224.66562,206.15581,192.77557
1,0.6157968,1.5049196,0.10902081,225.00519,207.00351,191.58109,180.5513,173.94066
