"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
0,-0.34791705,0.99854344,0.18021446,304.71826,291.10199,269.83716,236.50458,211.39375
1,0.92938292,2.1343014,0.20281629,240.1868,233.30884,207.04686,180.1732,175.95636
1,1.0813233,4.0251808,0.17206153,247.17072,237.95676,207.77898,190.9742,184.1709
0,-0.78497422,0.73464608,0.17116915,302.08603,284.14938,265.79852,236.91399,214.02838
1,0.37299427,5.0664592,0.15632977,232.56468,224.16229,205.95593,190.85138,184.23111
0,-1.0340643,1.4121568,0.15060642,295.36942,281.4931,266.78351,238.0266,218.23318
0,-0.934156,0.48962352,0.16278639,296.16656,278.7236,262.40048,234.407,213.1277
0,0.91067898,1.1737094,0.13203092,282.03253,266.2272,256.49545,236.2493,214.97
1,1.5881599,6.9423695,0.11760735,247.09125,239.17291,227.53625,209.80191,194.7961
0,-0.47066796,0.52614284,0.17868316,309.90802,290.44455,270.34048,239.05251,215.91885
1,1.194654,3.1078286,0.26731941,337.24649,284.82129,244.48311,214.72678,201.17314
1,0.65863401,1.6934799,0.13838287,230.51767,214.05005,200.89378,184.55621,177.60602
0,-0.46090606,1.352843,0.17127912,304.78085,290.83951,271.46274,240.24458,214.71954
1,1.0091398,2.2972078,0.26157048,349.47076,298.52182,251.67174,218.356,205.10341
1,0.5133853,1.9242326,0.084137678,218.78949,202.28094,196.72751,188.68155,184.59717
0,-0.81169742,0.73163325,0.15393072,293.31519,277.30756,261.5889,236.08313,215.57207
1,-0.83165479,1.5616385,0.14676626,288.90808,276.20697,258.01508,232.17696,215.05429
1,0.85778725,2.5551758,0.25623104,350.86514,295.51151,250.9902,217.75394,207.1167
0,-1.0934303,0.57541448,0.15384911,290.30728,275.93967,260.34143,232.91869,212.67735
1,0.9057343,7.113647,0.26835018,322.60913,277.08841,232.23956,205.69824,192.60699
1,3.1528993,16.678894,0.23731908,323.01132,267.12787,185.10771,163.0072,179.56874
1,-0.74378866,1.0917569,0.12073928,266.32352,259.19751,247.82817,225.83362,213.03377
1,2.1404743,26.760088,0.18348858,289.68594,215.79604,178.44409,180.97034,172.49812
1,0.096567944,1.236353,0.086104937,217.69374,207.55019,200.69872,189.26193,183.61459
1,1.1157972,1.9801567,0.18790932,264.13443,226.65724,217.27953,189.02112,173.88286
0,-0.83272117,0.66948682,0.16895749,302.11252,285.65936,267.43613,238.73703,214.84479
1,1.4082394,18.858051,0.21420775,310.70035,256.59421,208.35936,187.58821,181.49052
1,0.23367244,1.0031641,0.093451582,229.5351,204.86017,197.24529,188.77548,184.99693
1,1.5246626,3.6338291,0.27464694,345.43454,286.75754,240.42761,207.25638,195.08749
0,-0.83200699,3.8196805,0.16308278,301.80667,282.90674,267.17365,239.42337,218.92195
1,0.67112863,3.6346219,0.18537423,246.4675,193.79427,173.73355,161.32143,155.53922
0,-0.25304836,0.74795222,0.16607492,299.35989,282.14331,264.94119,236.69482,213.91278
0,-0.4751403,1.2474072,0.15864357,303.0397,288.78528,269.44943,239.88335,219.61794
1,2.3792515,27.128176,0.28859007,169.17714,143.3896,155.12982,159.66696,150.56859
1,1.6924037,2.6858151,0.13355821,252.92885,202.31226,183.52068,176.37057,175.60716
1,2.8134959,4.8304815,0.11677383,255.53697,234.33234,217.22414,201.57532,203.27554
0,0.44185045,0.90151602,0.15735269,296.64819,278.53818,262.25598,236.86823,216.31381
0,-0.62159091,0.76422262,0.16004945,294.26404,277.58932,261.66357,234.97052,212.70143
0,0.28475004,0.85625058,0.1635194,292.64569,278.24435,262.16449,232.09508,210.21371
1,1.6676444,2.728904,0.14975332,236.56479,208.47014,195.71846,187.74474,181.32195
1,0.96685374,4.5476203,0.26004252,346.26056,299.54053,242.52521,215.32161,203.80295
0,-1.0097007,0.8426345,0.16704668,306.16321,288.06039,270.15506,240.84665,218.50772
1,2.1262786,4.200016,0.26402611,348.93372,302.37744,255.96805,211.26372,209.80431
0,0.062567398,1.4716362,0.17878157,300.76151,287.28012,268.91721,236.87544,210.71704
1,2.7252402,7.7622752,0.17733642,270.89438,263.54922,244.23506,222.97021,211.00121
0,-0.62183887,1.2990603,0.16749556,302.15829,284.03378,266.29462,237.05125,215.75027
1,0.34995389,5.9739785,0.22840776,252.96255,230.82834,201.69814,176.42596,163.49608
1,2.488821,19.687538,0.21477561,276.36111,267.65048,220.91597,212.44376,197.50539
1,-1.0970025,0.69388884,0.12374768,280.38287,267.23383,252.07391,229.74461,216.82436
0,-0.44508475,0.73068672,0.1574809,292.13034,277.54837,260.02356,233.49667,212.84834
1,2.0271196,24.08684,0.40921089,289.02368,279.77359,204.23402,139.62068,130.66922
0,-0.65617877,1.5792501,0.16235244,296.92035,277.44,261.50461,234.85011,213.70326
0,-0.51736009,1.0505075,0.15563089,290.35544,273.62292,258.41965,233.1812,212.15236
1,2.3911691,9.2765617,0.2490906,222.53432,241.07062,222.12492,190.11206,166.40524
1,0.49028996,5.0494351,0.12329817,287.47519,229.11125,210.31487,204.21959,203.54286
1,2.5894897,13.768105,0.2183944,309.10849,261.52869,190.75024,171.29399,168.12714
1,0.31646991,2.1570749,0.25251952,348.49542,301.56827,254.91565,221.84074,210.38229
0,-1.1422174,0.87702411,0.17041412,306.49313,291.70889,272.30801,241.04895,217.44809
0,0.11078872,1.5143783,0.17486016,297.51999,285.39206,267.78293,235.11983,210.02347
1,0.73603714,3.9310162,0.15452489,260.46667,226.43568,214.94592,195.62454,184.75851
0,-1.0441037,0.75625825,0.15691,300.31598,288.90088,270.47534,239.97246,218.84488
1,0.47119939,1.3494362,0.092031576,223.89738,205.49596,198.63966,189.35345,183.32079
1,1.46171,3.9793615,0.27916992,326.77301,284.09158,241.98094,203.41281,192.45528
0,-0.8317588,1.766143,0.15522601,292.90579,276.67657,261.31195,235.59425,214.8231
0,-0.14387022,0.64867383,0.15835638,292.57104,278.5502,261.93088,233.99518,212.59547
1,1.3928431,5.5015516,0.18309119,252.45201,198.24231,184.10829,172.67392,159.39723
1,0.59006292,3.0671854,0.2530075,339.03342,284.63345,237.88931,210.32449,200.32303
1,1.0624648,3.7591996,0.2479575,349.75012,294.8974,253.30693,220.51138,210.37506
1,0.80693275,3.2613573,0.23544648,353.50217,299.74039,251.09375,225.15932,214.35831
1,1.9363533,11.311935,0.28153667,220.56438,239.2524,210.62071,188.22157,172.42105
0,-1.0206228,1.3318945,0.17202704,309.83096,291.85577,271.97327,241.17657,218.69798
1,3.3210175,26.958975,0.21146327,322.37314,218.49088,187.22215,179.29179,197.24529
1,1.6483111,4.4750447,0.25846899,340.17972,292.04605,246.54216,211.75499,199.29953
1,-0.92277306,6.1268101,0.15295942,308.71835,274.40802,252.63263,223.95518,207.81992
0,-0.61351353,0.87899172,0.15141466,292.36874,278.11432,261.84418,234.63818,215.27104
1,3.1056843,16.43969,0.20419914,272.13223,257.55267,238.12773,224.03706,212.49191
0,-0.30075532,0.56432641,0.16222143,298.29065,282.45398,264.85208,236.61777,214.92426
1,1.6441727,2.6078668,0.25740179,343.78729,290.64685,244.09779,208.56888,201.73427
0,-0.76581091,0.99455255,0.17823225,307.45401,290.57941,270.22009,239.12476,214.90257
0,-0.60027701,1.4464612,0.16508257,295.52597,277.66156,263.70816,234.19987,211.21072
1,0.46008569,3.2219274,0.17852661,240.21329,220.54269,220.05382,196.99724,175.677
1,2.8275697,37.134899,0.26846504,316.56442,286.62027,226.5826,214.76289,202.90948
1,1.7598876,6.1613822,0.25919878,333.00073,288.80936,231.69049,204.85777,196.99483
1,1.4814268,5.3679323,0.18865339,214.83032,212.14272,209.98012,185.70737,172.5222
0,-0.52751994,0.81706446,0.15858306,300.43637,282.1698,265.34097,237.77132,218.35359
1,0.97216338,3.3024685,0.2514191,345.55252,294.34351,247.47174,213.32036,206.80363
1,2.3204529,1.5560364,0.1213498,285.49802,280.34918,271.7421,248.28091,223.42296
1,2.0204792,2.41448,0.20045564,239.57269,198.30251,176.54156,159.95114,154.55424
0,-0.42202356,0.6568405,0.15476909,294.7818,272.21893,258.36908,235.63039,215.98869
0,-1.2167671,0.77493453,0.17564312,309.01938,289.8714,269.80103,239.23312,216.93033
0,-0.73625791,1.7077136,0.16417338,298.84454,277.05228,260.68341,235.90974,215.34329
1,0.91911554,2.5862503,0.24358562,358.27533,295.24902,253.41049,222.50061,211.74295
1,1.0035455,2.8212988,0.24954373,336.91412,288.77081,245.82692,218.24042,205.1588
0,-0.41734332,1.625509,0.14408898,294.26404,280.24081,265.16757,238.57086,220.02733
0,0.40121347,0.73395324,0.15894125,296.1738,280.40936,263.79727,236.38658,215.02539
1,2.0221152,7.1753597,0.22436962,352.44495,307.51181,265.70703,232.66824,227.92157
0,-0.2019396,1.432768,0.13551606,282.22037,265.2085,252.08113,231.73624,214.9122
0,-0.81218213,0.77332252,0.15450267,295.27551,279.12338,262.18616,235.95549,216.08261
0,-1.2620592,0.83639956,0.16597296,305.25769,288.09171,270.14783,240.90204,218.4716
0,-0.87669045,0.96781772,0.16859943,306.88327,287.94479,268.92444,239.91225,217.86472
1,1.3681127,2.5714757,0.10961759,281.16315,282.16257,270.60059,244.36992,226.51515
0,-0.077191658,0.79512686,0.17237625,301.11792,284.78516,268.65231,237.81949,212.83389
1,1.5750636,5.2897387,0.26820228,305.37088,275.55435,238.4384,205.00949,195.67752
0,-0.49589878,1.601842,0.1725781,302.04028,285.7894,267.21939,235.00424,214.17769
1,-0.50574744,1.3327616,0.12164763,267.55414,258.59546,247.46935,225.55908,212.89409
1,2.9893694,8.3700161,0.12209873,268.87146,245.25375,248.82036,256.33893,217.93938
1,1.3818951,4.9172206,0.26176834,355.11087,310.07901,275.41226,232.58395,212.17644
1,0.71320236,2.8996465,0.15707792,252.60373,212.07048,199.66798,183.54958,178.67528
1,0.69395429,2.3840005,0.09555579,223.1701,209.54422,198.4446,187.16435,183.71092
1,0.14412031,4.1069541,0.16070259,232.65379,212.11623,195.48245,186.45633,174.48492
0,-1.1103667,1.0086499,0.17627871,309.38544,289.89789,271.55182,239.92911,216.62929
0,0.73804379,2.3886943,0.16840865,299.69946,283.86279,265.6203,238.46489,214.08136
1,1.2266755,7.5213499,0.175548,253.19135,212.7785,202.39412,181.26414,173.51199
0,-0.8367359,1.6020787,0.12740649,288.8479,278.17935,262.47275,239.8978,222.76311
1,1.9699216,7.3282323,0.24915826,332.42758,285.38724,249.47301,216.38124,205.63564
0,-1.0565187,0.76593488,0.15864161,296.38089,280.33472,262.82193,235.18004,214.62563
1,1.3423394,4.3516607,0.2764844,342.50128,285.51727,245.81487,207.07336,192.63348
1,3.4819219,32.944202,0.11026104,356.60638,203.6127,181.47849,194.78406,233.62912
1,0.73631454,7.2465291,0.17273416,248.69513,209.48642,185.33168,172.47885,161.36478
1,1.230332,2.5634167,0.27849105,349.24438,294.96484,247.019,210.21854,198.82269
1,0.076167449,1.1576128,0.081454165,220.10921,203.21535,197.06949,189.33177,185.5412
1,2.193387,6.6818748,0.23918396,334.11816,285.19217,239.1368,222.95335,202.41098
1,2.1352353,10.186721,0.25604072,352.4281,299.05646,239.95078,220.26334,207.10707
1,1.2072223,2.0952652,0.23085713,254.6098,237.85802,219.07367,188.49852,166.16924
0,-0.42537722,0.96333522,0.15598017,292.56863,277.5556,261.91403,233.67247,213.1566
0,-0.84630567,0.68788075,0.17001025,297.90048,281.61108,265.68292,235.47626,211.39375
1,2.1034193,29.058208,0.16105784,287.93274,214.66898,202.97452,170.37645,170.06819
0,-1.4030724,0.92693329,0.15397473,298.17023,282.47324,265.94061,239.18495,218.87137
0,-0.48845774,1.5560626,0.15461294,290.64926,276.55618,259.62619,233.14507,212.36909
0,-0.079023361,1.6331533,0.1410837,284.9104,268.95816,256.50751,234.12041,214.49077
1,0.67745066,3.0004003,0.054506026,257.74774,257.7309,258.97595,248.93596,233.93979
1,0.18565841,2.5262027,0.11710616,232.08784,217.57814,206.66396,192.46732,186.85609
1,1.7715921,31.595478,0.30000567,352.59906,217.58296,163.62613,138.8934,124.06099
1,1.1936065,2.8543391,0.23538958,351.75137,300.44119,257.12402,226.62112,217.00258
0,-0.72118235,2.2365227,0.16227719,301.05771,278.72842,262.02722,235.168,215.15303
0,-0.69489169,1.1169442,0.15683345,297.65967,280.16855,263.98029,237.63646,217.43124
0,-0.039156262,1.6184767,0.16848721,294.02802,283.45099,262.46552,231.6351,209.43585
0,-1.0890971,1.3481617,0.17377344,309.46008,292.40005,273.67349,241.75697,217.93457
0,-0.80851567,0.60011393,0.1740659,301.84039,285.30777,266.62454,236.14093,212.19089
0,0.37892956,0.89237404,0.15136978,295.90164,277.4978,263.33249,237.47751,217.78766
0,-0.76078105,1.0149255,0.15103777,297.85233,281.01627,265.69016,238.37579,219.31931
0,-0.75305068,0.77730662,0.1625822,304.38831,289.81119,270.78119,240.50949,219.22539
0,-0.84098786,0.6473273,0.17053233,306.99887,288.36624,269.30014,239.8978,217.55165
0,-0.70315868,0.81528306,0.15618087,290.57458,278.61041,259.99225,232.35999,212.52563
0,-0.77544522,1.0185506,0.16060263,304.79291,289.02609,269.41089,240.04471,219.9021
1,-0.72559386,1.0789068,0.11528301,262.77859,258.64603,246.4073,223.61322,211.27576
0,0.86578488,1.1688776,0.16398756,295.91129,275.79758,259.41666,233.97592,214.55096
1,1.6302037,8.2332029,0.27249601,354.15961,292.89615,259.1084,223.04727,204.66029
0,-0.9875229,1.3988507,0.16980888,305.10117,289.56796,269.98648,239.55583,215.76714
0,-1.2264069,0.7442205,0.15295292,292.01474,277.77234,261.30954,234.354,214.35109
1,0.8443442,1.8891007,0.23484439,254.62425,233.01743,211.83928,175.89375,162.62428
0,-0.94342655,0.92475832,0.1629089,298.26654,281.50272,263.69614,235.53165,215.03021
1,1.0529078,2.5515344,0.26063734,347.75128,291.96176,252.04501,213.60934,201.85709
1,0.44860229,10.178122,0.20059516,227.26653,217.27711,199.1478,175.27,160.88313
0,-0.39851499,0.58773404,0.17057534,302.23776,284.23367,266.75702,237.64609,213.96095
1,0.63359982,3.1051409,0.10020428,227.15094,214.48114,201.56087,187.31366,180.70061
0,-0.70037067,0.78053528,0.16222297,304.04395,289.44754,270.7836,239.59918,219.19649
1,1.1971424,2.692518,0.22392121,235.38715,225.33511,212.82185,170.58356,160.6423
1,0.69863862,9.3467283,0.19038551,262.97845,239.53415,225.49646,201.16833,188.0506
0,-0.6592083,0.89001995,0.14558224,295.66806,280.38287,264.54141,238.94173,220.03456
1,1.1482625,3.075268,0.08376091,272.939,266.02008,260.94351,241.16454,231.24255
0,-1.0308073,1.2590313,0.17037876,308.47031,288.13986,268.86423,239.32224,217.38548
1,0.6041742,2.6205676,0.14461231,223.77939,198.02074,180.70061,175.99971,170.09468
1,2.0457606,10.230581,0.14839286,226.37788,214.33423,201.8595,190.33362,168.49319
0,-0.34834406,0.62627238,0.16156451,302.41837,284.15662,266.50415,237.91821,218.48123
1,1.3650587,7.891542,0.21645382,336.59625,291.95453,252.23286,225.45793,218.97974
0,-1.0182714,1.0906371,0.15002164,296.51093,283.26315,268.80643,239.45227,219.25188
1,1.4320587,5.0573325,0.26824775,345.55493,286.09766,247.76796,211.21796,201.02625
1,0.16719495,1.0905087,0.090574764,219.43008,208.27748,198.42534,191.17409,187.30162
1,1.38653,4.4766612,0.14925943,228.72833,188.04337,170.80511,158.43634,148.22536
1,0.58372831,3.3368316,0.17294195,234.52258,207.54538,188.19267,181.38937,168.16568
1,0.25192037,0.73785329,0.089589842,221.05565,208.00534,199.44884,191.30173,187.48706
1,1.5586134,6.0807161,0.18044832,251.21898,222.47412,198.31454,184.23593,172.9292
1,1.633044,2.6765654,0.15909089,261.94052,211.27335,193.26686,179.47,170.21028
0,-0.60575098,0.70462996,0.13516451,290.06888,275.11606,262.9881,238.52751,221.07251
1,1.2886802,4.0376415,0.27968583,347.84036,302.92651,249.56934,211.43469,198.90216
0,1.1689632,0.74497253,0.15118486,296.40738,280.36121,266.87982,241.96167,217.75876
1,1.2516475,4.3618951,0.27466869,346.01974,291.74982,245.13815,215.1434,200.60721
0,-1.0207165,1.0569305,0.15358213,299.1239,283.2511,267.88406,239.17773,219.34821
1,1.0352433,3.6095314,0.24289106,350.52798,296.55188,253.25395,218.77745,211.42506
1,1.88349,7.1129246,0.24670194,273.10516,213.03137,224.58856,189.93143,165.80318
0,-0.78210157,0.85351986,0.15778355,300.18353,284.62863,267.04599,239.76294,218.25005
0,-0.89939374,1.1253892,0.16396713,303.54303,284.19275,266.34039,238.12292,218.07184
0,-0.28602159,0.8858692,0.14639241,290.64926,272.10092,258.67493,235.8688,216.13319
1,1.4512162,1.7132863,0.14904511,255.90303,220.91838,206.151,194.54564,188.28419
1,1.3652527,4.8956542,0.26458171,332.16025,280.72003,230.48155,207.78139,199.85101
0,-0.20079672,0.36669689,0.17954692,309.58774,290.91174,269.98166,238.67682,215.4348
0,-0.63530093,0.77955061,0.16668686,301.72479,284.87909,267.88406,239.06454,215.80807
1,1.5949267,4.2087927,0.27519161,321.85535,283.03677,236.69482,196.88405,189.94348
1,2.3943129,12.603071,0.22946945,309.90561,241.68954,220.98341,192.61903,198.19655
1,1.0445542,3.4295096,0.086811066,233.39072,232.10471,228.0444,214.01393,207.34549
0,-0.892874,0.46151736,0.17696072,308.77615,290.43011,271.03888,239.37039,215.88754
1,3.6715448,11.550302,0.35853788,264.29819,270.68729,261.21805,208.17874,157.75722
0,-1.1570319,0.88391089,0.16947897,301.11551,285.84,268.20197,238.73462,214.47391
0,0.74133688,1.3388149,0.15930609,295.20807,278.33829,261.97662,236.24208,213.35889
1,1.5655284,5.0160317,0.21055143,353.68039,306.50516,265.88763,244.08093,230.65253
1,0.56718117,2.4208953,0.2438672,352.69299,304.0054,259.41425,225.62651,214.09099
1,-0.63729429,1.757308,0.12136715,261.90439,261.12653,248.6277,222.84258,210.5027
1,2.9021521,15.30461,0.15743797,272.80893,277.28589,220.30186,215.35774,229.10643
1,-1.1151154,1.500542,0.12712052,280.30582,269.95758,255.16611,231.39909,217.57573
1,1.1815666,8.2626314,0.26027015,357.04712,304.11859,253.4996,210.5027,207.99091
0,-1.0879643,0.9193536,0.15961622,296.995,280.60443,263.67203,235.49312,214.93629
1,-1.1933714,2.0538404,0.12111449,278.42017,269.49518,254.79283,232.32144,218.10074
1,1.5083776,3.6898906,0.25051776,340.98407,289.9003,241.36923,210.4738,203.64882
1,2.2684126,2.9018722,0.21719228,349.24438,302.35577,250.77104,223.78421,227.63982
0,0.84343356,1.4028105,0.16519386,293.10568,275.4845,258.75922,230.089,211.29984
1,-0.87627715,1.8093413,0.12247612,268.02856,264.89545,250.5808,222.64992,207.91866
1,0.40471464,2.1620231,0.093524203,225.86734,210.57495,202.14607,189.10541,181.34602
1,1.0208751,5.9721985,0.17042217,256.87836,196.12064,195.89908,180.79213,165.15778
1,1.2930434,4.2539635,0.14035527,230.91263,209.77541,193.78223,191.20781,181.91678
0,-0.96321028,1.0560279,0.15490368,298.00647,283.14032,267.10138,239.58954,218.18262
1,1.4557719,2.660784,0.1328584,210.08607,188.15414,178.23456,174.87024,166.42932
1,0.69495219,3.938489,0.19325244,272.07443,266.3139,233.30402,202.38208,196.3735
1,4.0248895,19.147043,0.32753718,318.04309,260.95795,226.83786,188.70082,135.8855
1,1.8284128,6.0188174,0.25280795,351.85251,304.64117,281.99881,238.20239,220.2513
1,1.8275188,3.0766826,0.22296308,238.72739,229.91078,204.55432,181.84694,165.34802
0,-0.42289868,1.5718683,0.16677488,301.25037,285.99893,266.8389,237.36191,214.98927
1,0.66206765,4.0938497,0.25978306,343.01184,294.52893,252.31474,219.04236,204.93483
0,-0.76624817,0.98819476,0.16853397,303.52377,285.04044,266.64142,238.57567,215.5793
1,0.080566019,0.92728359,0.091632172,220.4873,207.00351,198.31215,189.18246,183.40508
1,-0.76310545,1.433773,0.12440137,265.92856,260.09097,247.21648,224.34532,211.97896
1,0.93728417,2.0728929,0.14980449,261.90198,229.31595,206.66154,195.44151,188.26974
0,-0.50310415,1.1684467,0.16989939,307.10724,290.10739,271.20505,240.44206,218.54144
1,2.0889721,12.53186,0.2057412,246.16406,188.31068,220.26575,190.54073,184.40932
0,-0.28645685,0.85094643,0.14470962,291.52344,274.9017,263.14221,238.27464,218.18262
1,1.2989515,4.4854126,0.26352742,343.87399,293.78238,250.55672,218.5583,203.55249
0,-0.74648094,0.63307905,0.16745926,299.67297,284.7659,266.00806,236.85858,213.75385
0,-0.37788412,0.47126332,0.16690572,304.93982,286.38907,267.51321,238.42636,217.63835
1,0.18260227,0.53503597,0.081010655,219.96953,206.19435,198.19173,188.08189,184.26723
1,1.5623604,24.774944,0.19503662,201.98473,240.09528,226.35139,203.44171,194.52156
1,2.5695934,11.384895,0.28699464,291.70407,203.35983,201.30319,190.19875,170.3909
0,-0.34923771,1.0824635,0.17311588,300.14981,286.15063,268.60654,236.90675,211.68756
1,0.89007932,4.6808019,0.24728587,325.81693,278.34552,237.65572,209.44789,201.57773
1,1.3272922,13.528835,0.24299747,323.03299,269.12915,231.69289,201.89322,186.17697
1,1.1638317,4.5733895,0.26153752,334.1832,250.33516,237.53531,209.27449,197.69563
1,1.2873539,6.7247429,0.15280843,250.39536,210.22816,195.70401,176.91725,173.03998
0,-0.84974915,0.78144103,0.1632439,294.94797,274.43933,259.58524,233.4774,212.41486
0,-0.64925134,0.39124438,0.14860868,292.30133,275.70367,260.25473,236.59608,216.61003
1,-1.0709474,1.4568657,0.13642803,284.56842,273.6759,257.15051,231.04025,215.18193
