"NDAI2","SD2","CORR2","DF2","CF2","BF2","AF2","AN2"
1.1782322,6.6512623,0.082183711,246.09181,240.99356,231.52672,213.43355,204.02209
2.0787249,34.532486,0.55703503,275.4845,146.94177,129.41934,77.430046,71.079491
2.7845497,8.1639833,0.46660915,302.7435,250.59766,190.49738,144.36253,109.44291
2.0198526,11.112356,0.44209847,284.91763,218.71243,178.1575,133.92758,108.48683
0.32433009,3.6685107,0.22886916,290.96713,258.05841,206.89034,191.90138,184.79945
1.4044677,5.322453,0.27492872,337.42227,277.19196,230.5851,202.58679,189.34142
2.0579312,4.0650768,0.61044341,310.55344,235.91214,147.26207,87.185867,73.492561
0.81011188,3.13747,0.29485229,336.50955,275.95172,227.49773,194.18199,182.19855
1.5754637,7.1844559,0.31249911,282.35284,249.25145,202.69998,171.29399,160.16064
1.7718354,10.760789,0.44545922,253.41531,227.73615,163.03369,125.91293,106.76975
1.3576459,5.1243858,0.29335901,351.34677,259.39017,219.71185,188.94887,175.49397
3.6574867,27.056499,0.1409592,131.83722,136.65132,131.87094,104.49155,85.557892
1.3676894,9.1362486,0.3351478,350.7977,300.2341,227.1991,184.44304,173.55774
1.2914438,5.9690585,0.43335056,300.42194,223.60599,178.80533,134.87402,122.91707
2.8224888,17.175104,0.17104463,254.83136,238.04826,226.65002,199.9016,172.15132
3.5189168,12.917919,0.23184882,233.94943,211.42024,187.21733,162.32567,148.84187
2.4335697,39.664867,0.55572563,178.15268,138.60922,90.30455,62.852913,60.261635
1.5673875,10.04352,0.43883026,291.8895,227.49773,157.27797,119.49976,110.51218
2.2159002,13.091477,0.11482223,217.45773,218.50291,195.9352,174.21037,172.0574
1.171913,5.4899735,0.61544371,260.87848,188.34921,106.54338,71.214355,62.450733
3.2336335,16.277765,0.29392928,163.08186,98.798447,80.584854,77.511925,84.240578
1.876945,4.4918165,0.10175506,244.73839,238.33966,230.94633,207.79823,198.86604
1.9259353,10.748733,0.16517583,248.25925,243.90031,224.94016,198.57706,185.15587
2.0638244,12.409917,0.40028316,308.33786,220.63181,180.44775,137.56886,131.60844
1.6261703,8.7165327,0.092050806,262.42456,256.15347,244.36992,226.74153,212.14995
1.5638195,5.9861507,0.38483739,309.59015,242.5276,193.09828,148.65163,137.30154
1.719916,4.198276,0.29027739,320.48505,263.15909,225.09669,184.50323,180.03835
1.7937279,4.9454007,0.44333446,262.37399,193.36078,133.91795,105.22124,102.35062
2.1555471,6.713685,0.48861116,334.17355,245.94733,160.23772,124.07784,110.0835
3.5618947,10.09081,0.26445821,222.42113,189.70506,174.53067,135.4207,133.82884
1.4796498,4.3329916,0.18439782,286.43964,268.55356,242.12784,210.05476,200.14
2.7085469,8.5735826,0.44633272,202.36041,97.907394,91.768768,74.171684,75.640717
3.4407637,50.139786,0.1710065,240.71179,218.76059,191.36676,169.14583,151.34645
1.9569552,4.619103,0.42568076,301.72961,212.8965,168.47633,125.35903,120.90618
-0.88719189,1.032407,0.19169813,292.23148,271.38568,244.76006,213.66956,196.59265
2.2568107,3.1115427,0.07988783,263.67444,257.82721,239.93152,226.00461,223.88535
2.2459316,19.632269,0.35783795,270.92328,200.26042,156.02809,126.29343,126.03094
1.9803604,17.010172,0.57506347,297.97757,206.11969,141.44855,92.994568,77.273514
0.9889046,5.22264,0.26683441,336.53122,266.97375,233.13303,192.62386,185.35335
1.0193808,2.2422872,0.097678065,219.64442,205.1588,198.34586,187.646,177.76015
2.0904408,9.905364,0.43484083,195.72328,186.84647,133.16658,116.19083,79.455383
2.0189731,14.499034,0.47123894,276.26718,224.86551,165.49251,109.44772,101.59683
1.6912055,12.267658,0.083997026,143.97961,179.13525,170.71361,154.24599,135.87827
2.1337175,3.776546,0.063034602,261.25177,253.68262,239.18495,233.22214,226.33212
1.2290279,5.1667242,0.45504972,298.21597,212.4269,155.14668,121.82372,110.97938
1.5911574,6.6396966,0.44310373,296.0365,226.45255,178.7692,135.5676,116.04392
1.7200952,2.4565639,0.073939815,284.70087,271.52054,263.52032,246.13275,242.9635
1.0814519,2.5940173,0.089100517,283.21982,279.05835,267.84073,248.81073,236.17705
1.7092804,7.142827,0.11497284,235.49071,225.0365,212.77127,196.59265,189.01871
2.2198508,8.3068533,0.43118736,289.61853,224.70656,174.96175,113.98487,115.15768
3.7986336,57.455841,0.09481325,113.0312,76.230736,97.87368,92.922318,116.5617
2.9348166,21.894182,0.13645601,213.21439,207.95477,222.51987,216.09706,200.19539
1.5007806,8.893054,0.27139711,311.08807,252.35327,215.28067,186.03008,176.55843
2.1894083,11.021176,0.45566803,276.08899,192.78761,152.52892,113.19256,101.71002
3.6762247,24.329729,0.13151044,190.02295,199.54999,176.6981,164.30043,163.38771
2.1437869,4.527123,0.10134129,271.54221,270.48257,257.68274,234.7851,224.66803
3.1438937,27.563368,0.18125159,184.47194,146.97548,139.46655,131.72885,128.24893
2.9916868,24.683603,0.42746705,130.70053,98.487785,70.446121,56.112221,53.243996
0.98098898,5.1770344,0.28425351,327.91934,268.87387,220.33318,193.51009,183.47491
1.4348698,2.7084346,0.049418539,257.2131,255.64053,252.59891,242.65524,231.9265
0.81723005,9.4631691,0.27993065,350.16434,274.02753,228.40082,199.379,188.77066
1.552791,2.0920911,0.069303706,254.27023,254.48216,247.66681,236.01811,223.17732
2.4430194,2.5406189,0.20885366,295.60544,245.21281,218.84729,196.7227,191.01033
2.5265865,9.8743219,0.18820707,54.373463,38.120186,35.215836,38.353786,44.892185
1.174418,7.1223712,0.27639779,340.99612,275.25092,239.03323,198.51202,189.76045
1.1240256,3.8153284,0.13158683,286.70694,274.80298,256.92654,234.99701,220.50658
1.7424641,5.1694441,0.041243352,192.02902,188.91275,192.24335,186.75014,182.856
2.386636,9.0418043,0.7646181,271.38806,182.33099,132.7066,65.465858,40.116623
2.1567221,39.039047,0.25985715,134.13229,63.657265,53.848465,44.646542,42.898151
1.6089172,5.1295738,0.31123787,325.94937,280.12521,228.52122,186.64418,175.50601
1.5941486,37.322506,0.14528534,237.84357,274.25629,201.08163,177.59155,173.15317
1.2558283,5.4788003,0.078127347,190.63464,191.06572,190.23969,181.94327,178.57172
3.3032966,15.302597,0.51891088,208.00294,87.650658,78.624535,77.480621,67.115517
1.2891426,7.3333764,0.43482479,302.52914,225.69153,166.11143,126.89309,115.49243
1.7605866,10.601171,0.12886854,216.1091,186.08786,184.80186,175.02678,161.40091
