"NDAI2","SD2","CORR2","DF2","CF2","BF2","AF2","AN2"
-1.1462932,0.50963622,0.11210984,266.51859,258.35461,246.08459,226.19005,214.30533
-0.47198293,1.9222209,0.13535444,281.77246,273.95285,252.21359,225.87215,212.35947
-0.96645153,1.5850707,0.13604368,276.48874,263.08685,249.7644,228.31412,214.44983
1.1266515,0.53101969,0.081927948,230.20941,217.61186,207.64169,200.44345,193.65941
-0.96384102,0.98364973,0.15598626,303.82239,289.33435,271.26285,243.4861,221.4771
-0.3139562,2.0308185,0.18917526,325.40512,306.74359,287.53781,248.77461,220.61012
-0.7154246,2.4656568,0.19384821,278.83438,284.2963,252.67598,226.32732,208.66521
1.3166926,0.30616787,0.07295642,216.08261,205.70306,198.1821,192.06273,186.47078
3.1305242,13.348423,0.20935415,264.74612,273.31226,258.36908,211.2348,210.86876
-0.93256247,1.952055,0.15946881,306.93866,291.08997,271.78784,243.05261,222.71013
-1.1838419,0.93827677,0.12016441,275.20514,266.33316,248.87575,227.66631,214.83755
-0.34332851,0.83826888,0.17100921,307.57925,292.38318,272.16833,243.66911,217.72986
-0.44041258,0.93456024,0.13695049,281.35583,268.53912,251.76324,228.61996,214.99649
-1.4799887,0.59019691,0.13906558,288.75397,291.16702,270.34531,232.55505,217.39752
0.88691491,0.54731405,0.14405879,244.89491,231.04749,215.63228,197.52946,187.53041
-0.4867039,0.83166385,0.13502291,300.23169,269.67099,253.05647,229.32318,215.10246
-0.91501701,2.5152452,0.18894078,320.07806,298.14133,275.45563,243.7775,219.47102
2.2609472,8.8365517,0.26175362,340.8468,307.47089,257.24683,227.23523,205.80663
-0.62513256,0.9169178,0.17820901,306.92902,292.01956,274.74036,241.50893,214.24512
1.3592955,0.39993018,0.12358762,242.24344,229.14256,216.07298,201.04791,192.24095
-1.0514688,1.6538416,0.17348374,306.39679,297.47906,274.93784,242.45776,215.02058
-0.8363837,1.4597832,0.1402165,293.67883,270.26102,247.33929,227.20874,211.83206
-0.90757495,0.5986895,0.12231926,277.75549,264.77502,250.28699,228.06607,215.54077
1.3358333,1.0845047,0.13262405,242.73232,228.0757,213.49615,196.67694,187.97594
3.3249431,20.821381,0.21265788,270.30676,287.29456,253.38882,206.22806,218.09351
-1.1987798,0.79390138,0.16707458,303.40817,292.88651,271.32306,242.2627,216.46312
-0.49697307,1.2191069,0.1764247,307.58887,291.60535,272.17557,243.05502,216.14041
-1.0093155,4.2852521,0.17475843,277.69528,267.70105,251.14673,225.10393,206.46165
-0.20987529,3.1484554,0.17537908,304.47504,294.88055,269.66376,240.95984,215.43721
2.6685874,8.0032787,0.16656955,306.91699,294.11475,262.82675,227.0233,219.12906
-1.0663918,1.4954065,0.17756268,316.02258,300.89395,278.12155,245.93288,221.09659
-0.59550655,2.2108929,0.19760919,327.87115,305.93201,277.28348,247.64755,219.83949
0.7409476,0.89142853,0.083532333,227.21114,215.98869,206.48575,198.48312,192.15906
-0.96383917,0.78089082,0.1858796,311.45895,295.25381,274.57901,242.05319,213.70808
-0.92640555,0.46416378,0.15538722,298.55072,284.90317,265.66125,241.18381,218.23077
0.88864517,0.87069058,0.076451458,220.7209,206.66154,199.42476,193.30298,188.12044
-0.97546554,2.9754593,0.19570494,318.00458,307.73337,280.99698,242.6095,212.61234
1.0296118,0.66350365,0.071161419,217.21449,206.3557,198.92865,193.4547,187.49669
-0.50296962,1.7856783,0.18754093,312.8172,294.74811,271.54221,239.25961,212.62437
-0.28664652,5.9111886,0.16420493,297.45978,283.16922,256.63031,231.41113,212.61716
3.1019139,12.099633,0.21029022,307.08557,284.41431,248.81555,225.78064,221.39281
1.1035587,1.0918401,0.12305927,241.01764,226.91011,213.22885,197.65469,188.90552
-0.67371219,0.59592223,0.16911744,307.83212,292.25797,272.60666,243.2838,218.76059
-1.1425176,1.348793,0.17111491,309.76114,294.05695,273.78186,244.16763,219.89488
-1.1386547,1.9497212,0.14419155,270.41995,251.68137,242.78288,222.14418,206.97221
-1.3044972,0.97823095,0.16555986,301.83075,285.37277,268.23328,240.03989,216.83159
-0.82227975,2.9730816,0.17194243,302.73627,290.46625,270.10687,241.78105,215.37459
-0.8340134,3.8188169,0.1366315,285.2644,267.22421,245.71373,222.89075,208.89159
1.0057905,1.2135421,0.10611779,242.96832,225.88179,213.73457,201.22372,193.3367
-0.65584624,1.4918435,0.13256811,280.20227,273.97455,253.51645,229.63625,215.73343
2.2703805,7.9713845,0.16233289,304.73511,287.45831,258.36185,243.72211,221.55417
-1.1807994,0.61287469,0.17532445,307.00848,292.70349,273.45917,241.34998,215.36496
-1.2075617,0.79756182,0.17770748,301.66458,278.56226,252.31955,226.76321,209.26968
-0.97843432,1.0125448,0.16960855,306.18005,291.11404,272.05035,242.38312,217.47699
-0.75297016,1.0296135,0.16947775,306.84714,292.75165,271.73727,243.08151,217.59018
0.75081933,0.47639921,0.090278275,223.53375,209.90787,201.81133,192.33487,186.67067
2.6542022,4.0465922,0.19183894,296.47723,288.70822,255.84764,242.26511,204.48689
1.0168402,0.61342406,0.071590848,216.54982,209.36119,200.99976,196.32774,191.24634
3.076853,18.516151,0.18674102,291.89673,271.55905,249.50191,232.35275,207.39606
-0.68224317,1.1334394,0.17512825,303.03247,291.44638,276.95355,240.42761,212.12587
-1.0498079,0.86951149,0.18298177,316.17911,301.30817,279.49664,244.92381,217.91289
-0.63580471,0.77057123,0.139718,288.08447,281.08127,262.72079,234.58279,219.07608
-0.24977982,0.86839789,0.17124444,300.43396,282.1626,265.62512,235.77728,211.97174
-0.98528814,1.0711291,0.17869978,309.59976,297.1106,277.08118,244.56499,216.04169
-1.2186611,1.2589124,0.18603233,307.02536,292.05087,274.19852,239.89299,211.46359
-0.94611269,1.0032058,0.14838852,286.44928,284.5636,256.42081,224.3092,207.81992
0.97325605,0.47667089,0.091778152,231.45688,218.15854,207.2323,198.30251,191.4968
0.81530905,0.58825791,0.062303871,216.50647,208.27507,200.07739,195.2657,190.43234
-0.64387578,1.9186656,0.18957373,313.15436,298.19189,275.73737,239.90503,212.87964
