"NDAI2","SD2","CORR2","DF2","CF2","BF2","AF2","AN2"
1.5269629,6.2436814,0.46905908,293.1731,214.94833,170.82198,128.23689,104.80222
3.153095,11.378728,0.35915896,138.35635,82.889549,68.110123,60.668629,74.841179
1.1848201,13.238638,0.052105892,194.8539,189.53407,183.71574,179.04614,162.50388
2.6540151,11.57431,0.15589216,246.96602,234.97534,225.26286,205.98723,180.89809
2.2712536,8.0897617,0.24698386,276.03839,245.80042,211.86096,197.13211,173.23264
0.93323189,1.9951525,0.078021474,180.1684,186.56229,180.18765,167.44319,153.58372
2.316817,2.8534739,0.19224849,194.20126,175.54695,156.64702,143.03799,132.40558
2.5994403,2.5642164,0.2948378,195.39093,168.79904,150.44818,118.39197,105.28386
1.377602,4.0734305,0.15863888,231.08842,219.26633,204.73013,189.10782,176.45486
2.2435741,18.112541,0.44901654,296.84326,195.29221,126.60169,103.02011,97.360718
2.7836094,15.474974,0.2211232,147.96527,143.74361,113.40208,108.1834,102.29523
2.2154815,17.659822,0.58063293,281.31006,203.815,135.62781,90.863266,67.04808
1.0312874,3.1201594,0.066104621,217.66002,209.81154,211.26852,199.60779,189.00426
1.3456788,8.3511133,0.33844772,292.79742,232.17213,190.8851,156.21112,143.60394
1.7300659,6.5963063,0.35261673,302.11011,219.55049,161.7236,144.19878,142.96815
2.1843865,6.355978,0.40162802,300.35211,227.42307,168.15845,129.85524,124.58357
3.3314419,23.575583,0.20666841,224.72342,177.659,181.67836,155.49828,148.28798
1.8238237,3.819319,0.18025061,179.08949,158.25572,153.31641,137.1739,125.69378
2.9646106,31.401608,0.29370865,289.30304,214.28607,212.40041,167.82611,162.50388
2.8741937,11.55756,0.49578568,250.37851,185.71219,132.4706,87.130478,82.18634
2.622952,25.930004,0.31048882,61.010601,79.318115,70.111374,52.36739,52.906841
2.3544147,14.209458,0.19374207,285.39206,247.89319,218.89064,190.33362,194.17477
2.5965881,26.533104,0.4385176,160.69046,113.74886,84.158699,73.43235,78.468002
2.7303331,8.4418087,0.67681444,249.33813,193.2789,126.40662,104.63605,52.663605
1.8978733,76.865799,0.47118571,260.17526,101.82561,62.212315,58.876892,54.508324
2.1876006,10.016691,0.48701555,296.73248,207.50684,148.94302,105.53673,95.747192
2.7977812,6.5493965,0.55993545,282.69241,222.85944,160.05951,135.63022,81.184509
3.1758034,12.483902,0.41295362,253.49719,238.99229,132.22977,124.31385,118.575
3.000509,10.86832,0.28548801,204.47968,132.90408,122.77016,109.585,97.685837
2.0801444,12.770175,0.32559195,273.20871,229.78075,185.70978,153.18877,142.33238
2.6288805,5.3082337,0.43157679,181.49533,132.38148,101.5583,82.179115,73.059074
2.8694103,8.0326815,0.2011618,185.33409,175.33263,150.69382,130.69331,118.62798
2.6539047,8.7667904,0.49007279,264.50049,196.54208,139.93858,96.488937,88.551346
1.3637773,3.7637269,0.08720459,179.05096,175.33984,170.716,165.27818,154.82637
1.9959918,3.6642354,0.17505176,255.26485,232.5695,214.4137,200.40732,178.92574
2.6636965,14.787676,0.53004116,277.76993,200.39769,138.91025,110.63741,81.14357
2.4206333,34.870193,0.68311566,182.9451,143.98685,75.792435,44.164894,41.248501
2.4069803,12.447456,0.28014314,197.03818,193.51491,178.09248,138.81874,121.15423
2.2340276,6.9969368,0.44372314,299.27802,230.20219,173.96956,139.0692,114.71698
2.8495917,21.189056,0.5957486,268.40186,236.85378,154.26767,118.79174,77.617889
2.4078317,17.19875,0.35623065,226.74635,164.59665,153.69691,135.37254,114.86629
1.7464362,5.0891118,0.3690705,316.42715,264.57031,220.56918,173.96956,145.12836
2.3009505,15.056738,0.41942742,322.41647,209.98734,167.4745,135.00648,124.81959
1.7653084,15.187526,0.54290819,227.35805,180.15634,160.9337,90.85363,70.494286
2.0488575,13.959698,0.3746163,176.52711,137.65074,112.90839,94.254082,80.808823
1.9339759,8.0954161,0.56249434,299.8295,219.93822,173.60591,120.31616,84.580139
2.00368,4.6000881,0.41942614,302.54602,228.63441,186.36963,136.84637,124.20548
2.2676394,8.1423435,0.43052578,299.48993,239.70032,183.52068,131.55786,120.25354
1.7736815,4.8644795,0.15926489,227.989,203.19849,183.07515,176.2309,169.17232
2.1693585,9.0162773,0.50429219,293.8161,227.20872,166.23184,119.25412,99.643745
2.0065055,20.317997,0.27677533,306.62558,283.25351,261.39624,206.58929,188.33235
2.9448006,16.682919,0.16695812,135.83252,149.01045,135.37976,120.7087,98.718971
2.3213615,13.981935,0.21986395,286.26141,267.4241,208.53998,198.91661,196.5782
4.0221257,8.3262968,0.23658918,198.45905,163.22394,145.15726,109.78007,136.88251
2.4008918,16.896997,0.26219925,289.97977,232.73085,224.23213,202.45433,184.37561
2.6745896,30.14587,0.2371477,326.34674,262.21024,195.89667,189.69783,191.37398
2.0637226,40.229565,0.71144915,178.53319,131.36281,51.177715,38.19725,39.386925
0.58085454,4.0369506,0.1989169,265.16998,243.58002,215.41072,184.59717,173.75522
1.479606,7.4285774,0.13006762,228.01068,208.74709,194.47821,183.92767,175.44099
1.661952,40.057911,0.65144569,263.20004,163.95364,119.55997,48.945267,47.777267
2.7180927,12.448497,0.19311315,162.71098,107.58615,96.84536,101.06461,102.73353
2.4121609,9.257719,0.45517778,133.44835,90.969223,87.197906,67.850029,51.016365
2.4158545,28.912043,0.10462178,162.50629,120.49196,146.23856,152.63487,149.61734
1.1177734,3.9555359,0.10983787,187.51837,180.3177,177.96484,164.16557,153.35011
2.8928051,8.4633741,0.26540309,168.96762,151.3007,126.633,109.89566,95.49192
1.8245118,16.705194,0.38200688,296.5856,252.42311,185.75793,153.71136,136.49237
2.6796393,12.270178,0.27700177,204.37852,182.3334,146.32526,121.03381,115.84404
2.6824954,5.2074151,0.076904669,152.5578,139.9458,126.69802,129.29652,127.10501
2.1927047,5.5728688,0.18803038,285.12955,248.76497,231.6953,199.04907,192.33005
1.7038031,23.463989,0.38792545,315.85883,227.31229,185.63031,146.70094,138.91748
2.3190246,8.392478,0.22400448,162.41718,143.63043,117.70561,98.788811,109.24062
1.8003012,12.60055,0.51862848,276.49115,162.30881,131.47839,93.558098,81.947922
1.6536078,8.7584896,0.18549974,116.55447,102.29282,78.472816,78.988182,79.87442
2.6748369,23.55298,0.71897161,246.2002,213.23848,146.69612,59.657162,38.076836
1.7907068,3.7217951,0.3838706,155.55125,120.16685,108.08948,88.551346,69.530991
3.0124502,25.17569,0.29380926,169.69972,175.35912,125.82142,97.177696,87.628983
2.3481176,4.7750425,0.25317681,160.44482,149.74496,132.35741,107.43925,93.774841
2.8241527,18.515322,0.3479991,208.54721,130.37541,97.811066,97.274025,97.336639
1.3467523,5.8181376,0.27417496,308.08258,255.92229,208.66521,187.31607,175.9082
2.5652082,58.058247,0.67474502,224.38626,160.18474,97.953148,50.631042,45.137825
2.6081216,23.246059,0.15324594,232.24197,213.09639,182.39844,183.68202,180.57538
1.7977902,6.5500736,0.42172036,306.02835,239.05731,171.45534,130.86429,123.85387
1.3479159,4.9959669,0.28883329,315.48071,260.15118,227.30507,194.02306,180.32733
3.3522274,7.6836362,0.26855794,146.27708,138.82115,136.04443,120.02717,90.35994
3.0548997,2.2367215,0.32339305,254.50624,215.92126,179.97574,152.44943,119.21799
2.3594158,22.094366,0.34782177,166.69423,174.23927,137.32562,95.043983,83.701126
2.3678095,16.906088,0.30553791,317.18576,245.13815,207.42496,166.21739,160.32201
2.2884505,10.847434,0.20055889,221.76608,191.439,180.42366,158.27982,145.39085
2.8035173,8.2922859,0.47143418,208.19078,138.73927,131.37724,89.449623,76.741287
1.6745477,7.9693356,0.39530903,181.85657,131.68069,105.65714,83.708359,79.725105
3.4163673,16.161053,0.085847706,206.95776,156.38692,116.98314,156.54828,167.29871
1.9249711,12.733072,0.32295331,276.90536,219.8443,179.87698,162.80492,152.23991
1.6426309,6.2311468,0.45781285,175.50121,119.10722,80.582443,72.300476,62.787888
2.2897601,8.299592,0.48812255,297.39957,217.7106,164.03311,118.91456,98.213242
2.9007347,7.4001713,0.31633404,195.52821,140.27814,120.16444,106.62285,100.11576
2.2325566,10.213774,0.30431464,246.84079,201.20927,171.8503,143.97722,131.67828
2.4555657,29.309069,0.57746619,224.29234,187.83626,108.68431,57.651093,53.19342
2.5588505,8.6713314,0.53085357,276.98724,232.84645,188.54187,115.98853,87.518204
2.0989714,3.4542742,0.43612006,290.89731,218.77023,179.44351,144.01575,111.72112
2.3403504,5.3846536,0.36064458,282.15778,216.77379,181.98662,152.62764,134.02391
2.1473777,3.0174272,0.40697166,171.04836,113.71755,96.951317,78.523392,72.620773
2.5646369,17.361698,0.34913087,283.84836,179.87698,168.9917,136.03963,129.27725
1.8861549,5.5385966,0.46562424,295.00098,234.78508,158.24609,112.69646,110.37972
1.8194797,5.0228453,0.06572897,181.02573,180.27917,177.18698,169.60822,158.59529
1.5852182,7.9445534,0.40784639,154.34232,104.23869,88.488731,81.210999,67.854843
2.1024673,7.9607272,0.35489923,290.18445,238.13737,191.23189,148.4397,136.64409
3.6081786,4.1637859,0.41171411,207.69469,175.25555,131.63493,99.528145,80.820862
1.4325823,8.5271893,0.17915104,218.01404,206.62302,176.6981,165.25169,156.6422
1.7603003,4.0019846,0.43800265,307.65631,238.08438,183.56883,122.77016,116.75195
2.2514508,21.493399,0.22625931,289.19949,242.32291,233.52316,195.66788,179.58078
